timestamp,open,high,low,close,volume
1754895600,0.249,0.298,0.249,0.298,22903868.0
1754982000,0.298,0.357,0.294,0.298,188274049.0
1755068400,0.298,0.309,0.297,0.3,53714384.0
1755154800,0.3,0.304,0.29,0.292,20513876.0
1755414000,0.292,0.302,0.291,0.3,14601509.0
1755500400,0.3,0.31,0.295,0.298,37902716.0
1755586800,0.298,0.306,0.296,0.298,23269694.0
1755673200,0.297,0.303,0.281,0.282,34188084.0
1755759600,0.282,0.289,0.278,0.279,19408523.0
1756018800,0.279,0.284,0.27,0.273,14303022.0
1756105200,0.273,0.278,0.268,0.27,16344175.0
1756191600,0.27,0.273,0.262,0.264,11257096.0
1756278000,0.264,0.266,0.259,0.262,11535477.0
1756364400,0.262,0.287,0.262,0.276,46733973.0
1756623600,0.276,0.283,0.262,0.264,18357911.0
1756710000,0.264,0.268,0.26,0.265,19195222.0
1756796400,0.265,0.301,0.265,0.279,106492829.0
1756882800,0.279,0.287,0.275,0.277,17083496.0
1757228400,0.277,0.29,0.276,0.276,11811233.0
1757314800,0.276,0.29,0.275,0.276,34892916.0
1757401200,0.276,0.28,0.265,0.266,24474135.0
1757487600,0.266,0.273,0.265,0.271,7120324.0
1757574000,0.271,0.276,0.267,0.268,14703357.0
1757833200,0.268,0.27,0.266,0.266,8302066.0
1757919600,0.266,0.28,0.261,0.275,60600801.0
1758006000,0.275,0.277,0.262,0.266,18946432.0
1758092400,0.266,0.267,0.263,0.264,10839096.0
1758178800,0.264,0.267,0.262,0.264,7226503.0
1758438000,0.264,0.268,0.262,0.263,6026747.0
1758524400,0.263,0.266,0.255,0.26,18816684.0
1758610800,0.26,0.275,0.258,0.258,47987480.0
1758697200,0.258,0.263,0.258,0.261,11047765.0
1758783600,0.261,0.266,0.26,0.262,21423182.0
1759042800,0.262,0.266,0.262,0.264,14572721.0
1759129200,0.264,0.266,0.258,0.26,14290369.0
1759215600,0.258,0.262,0.253,0.253,49052118.0
1759302000,0.253,0.257,0.25,0.251,20556243.0
1759388400,0.251,0.257,0.25,0.251,9056572.0
1759647600,0.251,0.255,0.25,0.251,13353303.0
1759734000,0.251,0.253,0.249,0.251,17143098.0
1759820400,0.251,0.259,0.25,0.253,21537664.0
1759906800,0.253,0.255,0.251,0.254,8986082.0
1760252400,0.254,0.256,0.252,0.253,7030222.0
1760338800,0.253,0.262,0.253,0.26,13333621.0
1760425200,0.26,0.276,0.258,0.264,72258311.0
1760511600,0.264,0.279,0.259,0.275,102400153.0
1760598000,0.275,0.307,0.275,0.289,369708580.0
1760857200,0.289,0.294,0.287,0.29,51145787.0
1760943600,0.29,0.294,0.283,0.284,22271092.0
1761030000,0.284,0.288,0.281,0.283,22693556.0
1761116400,0.283,0.297,0.283,0.289,87585401.0
1761202800,0.289,0.31,0.289,0.307,148255702.0
1761462000,0.307,0.336,0.304,0.331,166309600.0
1761548400,0.331,0.339,0.326,0.335,53343602.0
1761634800,0.335,0.34,0.321,0.336,87629135.0
1761721200,0.336,0.35,0.335,0.34,54388473.0
1761807600,0.34,0.351,0.34,0.344,12299174.0
1762070400,0.344,0.348,0.328,0.334,13116308.0
1762156800,0.334,0.347,0.33,0.341,32664830.0
1762243200,0.341,0.345,0.336,0.345,19078384.0
1762329600,0.345,0.349,0.33,0.332,57681706.0
1762416000,0.332,0.335,0.323,0.334,33306717.0
1762675200,0.334,0.34,0.329,0.34,29400466.0
1762761600,0.34,0.349,0.334,0.344,44920115.0
1762848000,0.344,0.379,0.344,0.368,204965720.0
1762934400,0.368,0.383,0.368,0.383,97308922.0
1763020800,0.383,0.401,0.376,0.401,124749811.0
1763280000,0.401,0.41,0.382,0.399,48406622.0
1763366400,0.399,0.41,0.376,0.406,116922569.0
1763452800,0.406,0.448,0.402,0.44,208786324.0
1763539200,0.44,0.485,0.428,0.485,166050007.0
1763625600,0.485,0.485,0.433,0.435,187122872.0
1763884800,0.435,0.44,0.419,0.434,123070632.0
1763971200,0.434,0.466,0.434,0.457,216240738.0
1764057600,0.457,0.481,0.457,0.46,145477400.0
1764144000,0.46,0.48,0.452,0.476,79221980.0
1764230400,0.476,0.506,0.476,0.5,154951179.0
1764489600,0.5,0.515,0.479,0.482,151172996.0
1764576000,0.482,0.501,0.482,0.486,97480677.0
1764662400,0.486,0.496,0.481,0.481,26665647.0
1764748800,0.481,0.5,0.471,0.489,76493935.0
1764835200,0.489,0.497,0.481,0.481,46264811.0
1765094400,0.481,0.53,0.481,0.53,203309322.0
1765180800,0.53,0.534,0.513,0.514,122793707.0
1765267200,0.514,0.541,0.514,0.519,104661072.0
1765353600,0.519,0.527,0.514,0.525,80060648.0
1765440000,0.525,0.538,0.523,0.523,80756514.0
1765699200,0.523,0.535,0.522,0.523,69027993.0
1765785600,0.523,0.536,0.497,0.498,141570798.0
1765872000,0.498,0.5,0.462,0.473,84158119.0
1765958400,0.473,0.493,0.471,0.486,107125568.0
1766044800,0.486,0.49,0.447,0.447,88836023.0
1766304000,0.447,0.465,0.441,0.444,101019771.0
1766390400,0.444,0.456,0.443,0.445,29780147.0
1766476800,0.445,0.453,0.421,0.427,41658418.0
1766563200,0.427,0.452,0.422,0.442,41776976.0
1766649600,0.442,0.45,0.438,0.442,27147455.0
1766908800,0.442,0.446,0.426,0.429,23390236.0
1766995200,0.429,0.453,0.428,0.453,43284694.0
1767081600,0.453,0.46,0.44,0.441,28342751.0
1767168000,0.441,0.449,0.434,0.435,30955963.0
1767513600,0.435,0.445,0.433,0.437,8404506.0
1767600000,0.441,0.443,0.418,0.42,24810522.0
1767686400,0.42,0.424,0.416,0.417,25144489.0
1767859200,0.417,0.425,0.411,0.414,31538863.0
1768118400,0.414,0.423,0.408,0.41,16582545.0
1768204800,0.41,0.431,0.408,0.429,43543769.0
1768291200,0.429,0.433,0.413,0.417,17745263.0
1768377600,0.417,0.419,0.382,0.387,42484792.0
1768464000,0.387,0.397,0.375,0.378,30672132.0
1768723200,0.378,0.39,0.378,0.39,18304523.0
1768809600,0.39,0.412,0.39,0.406,26627962.0
1768896000,0.406,0.417,0.405,0.406,27589141.0
1768982400,0.406,0.409,0.392,0.406,12590924.0
1769068800,0.406,0.409,0.399,0.401,14040461.0
1769328000,0.401,0.407,0.39,0.392,29410597.0
1769414400,0.392,0.392,0.38,0.381,15750526.0
1769500800,0.381,0.385,0.375,0.379,8495884.0
1769587200,0.379,0.385,0.366,0.368,16296215.0
1769932800,0.368,0.388,0.365,0.388,18759167.0
1770019200,0.388,0.413,0.381,0.408,57425732.0
1770105600,0.408,0.412,0.397,0.411,20220428.0
1770192000,0.411,0.423,0.402,0.412,37070384.0
1770278400,0.412,0.418,0.402,0.414,11193674.0
1770537600,0.414,0.421,0.407,0.408,10246027.0
1770624000,0.408,0.415,0.403,0.404,8529226.0
1770710400,0.404,0.418,0.396,0.403,15502947.0
1770796800,0.403,0.415,0.398,0.399,11017876.0
1770883200,0.399,0.407,0.399,0.405,3507209.0
1771142400,0.403,0.42,0.399,0.41,28875838.0
1771228800,0.41,0.416,0.4,0.4,19050469.0
1771315200,0.4,0.42,0.4,0.42,23179653.0
1771401600,0.42,0.44,0.42,0.429,36115775.0
1771488000,0.429,0.433,0.41,0.411,8066708.0
1771747200,0.411,0.415,0.405,0.407,21921461.0
1771833600,0.408,0.42,0.405,0.419,9198911.0
1771920000,0.413,0.434,0.413,0.422,28541805.0
1772006400,0.422,0.429,0.403,0.429,30483987.0
1772092800,0.429,0.44,0.409,0.436,27919374.0
1772352000,0.436,0.436,0.401,0.415,16515441.0
1772438400,0.415,0.428,0.413,0.414,29011587.0
1772524800,0.414,0.424,0.413,0.42,22554757.0
1772611200,0.42,0.435,0.418,0.428,22414862.0
1772697600,0.428,0.445,0.428,0.437,24420507.0
1772956800,0.437,0.442,0.431,0.432,11469059.0
1773043200,0.432,0.45,0.429,0.45,40550735.0
1773129600,0.45,0.469,0.45,0.464,39893182.0
1773216000,0.464,0.471,0.457,0.46,24578027.0
1773302400,0.46,0.478,0.46,0.469,27352679.0
1773561600,0.469,0.472,0.465,0.466,15625652.0
1773648000,0.466,0.468,0.457,0.458,8327811.0
1773734400,0.458,0.468,0.458,0.463,4971932.0
1773820800,0.463,0.474,0.463,0.468,13705410.0
1774339200,0.468,0.492,0.468,0.486,44704196.0
1774425600,0.486,0.499,0.478,0.481,48295720.0
1774512000,0.481,0.485,0.461,0.465,29258618.0
1774771200,0.465,0.47,0.454,0.462,12863456.0
1774857600,0.462,0.468,0.444,0.449,22101551.0
1774944000,0.449,0.455,0.438,0.449,18388384.0
1775030400,0.449,0.458,0.449,0.451,6213033.0
1775116800,0.451,0.455,0.442,0.447,7805405.0
1775376000,0.447,0.452,0.445,0.447,8352968.0
1775462400,0.447,0.453,0.442,0.453,12349291.0
1775548800,0.453,0.456,0.443,0.445,8143968.0
1775635200,0.445,0.461,0.445,0.455,9345346.0
1775721600,0.455,0.457,0.449,0.451,4866637.0
1776153600,0.451,0.458,0.446,0.454,8688744.0
1776240000,0.454,0.455,0.448,0.448,9536091.0
1776326400,0.448,0.453,0.444,0.444,11797420.0
1776585600,0.444,0.449,0.43,0.44,13895831.0
1776672000,0.439,0.452,0.435,0.447,26267662.0
1776758400,0.447,0.458,0.446,0.456,21836766.0
1776844800,0.456,0.475,0.456,0.475,61778011.0
1776931200,0.475,0.478,0.461,0.462,35429609.0
1777186800,0.462,0.469,0.46,0.462,14964898.0
1777273200,0.462,0.465,0.458,0.459,12101311.0
1777359600,0.459,0.462,0.456,0.458,10986773.0
1777446000,0.458,0.477,0.458,0.475,42175906.0
1777532400,0.475,0.481,0.468,0.47,32976512.0
1777791600,0.47,0.477,0.468,0.469,14925856.0
1777878000,0.469,0.483,0.466,0.479,40994014.0
1777964400,0.479,0.494,0.479,0.49,48220223.0
1778050800,0.49,0.508,0.49,0.495,52244567.0
1778396400,0.495,0.548,0.495,0.537,91549190.0
1778482800,0.537,0.552,0.535,0.541,65047422.0
1778569200,0.541,0.597,0.541,0.59,77349849.0
1778655600,0.59,0.6,0.581,0.593,35516984.0
1778742000,0.593,0.62,0.593,0.612,32052706.0
1779001200,0.612,0.63,0.603,0.608,27221969.0
1779087600,0.608,0.631,0.607,0.612,32273066.0
1779174000,0.612,0.637,0.612,0.62,44095364.0
1779260400,0.62,0.635,0.611,0.612,19001333.0
1779346800,0.612,0.638,0.612,0.631,31203596.0
1779606000,0.631,0.641,0.624,0.632,23253921.0
1779692400,0.632,0.636,0.612,0.615,16008413.0
1780297200,0.615,0.627,0.615,0.616,11316190.0
1780383600,0.616,0.626,0.616,0.62,10213776.0
1780470000,0.62,0.645,0.62,0.635,38798641.0
1780556400,0.635,0.7,0.635,0.66,72584810.0
1780815600,0.66,0.668,0.65,0.651,23490658.0
1780902000,0.651,0.662,0.643,0.653,14672058.0
1780988400,0.653,0.68,0.65,0.672,44078470.0
1781074800,0.672,0.724,0.661,0.664,113175603.0
1781161200,0.664,0.67,0.635,0.644,37276223.0
1781420400,0.644,0.67,0.644,0.662,15509245.0
1781506800,0.662,0.697,0.662,0.677,30317855.0
1781593200,0.677,0.686,0.654,0.66,13410501.0
1781679600,0.66,0.667,0.641,0.643,19056791.0
1782025200,0.643,0.645,0.625,0.639,19807848.0
1782111600,0.639,0.68,0.639,0.65,18412964.0
1782198000,0.65,0.665,0.627,0.627,11666684.0
1782284400,0.627,0.638,0.627,0.636,7367222.0
1782370800,0.636,0.644,0.611,0.624,8581212.0
1782630000,0.624,0.624,0.596,0.598,13756233.0
1782716400,0.598,0.615,0.587,0.597,20297995.0
1782802800,0.597,0.7,0.597,0.671,108147865.0
1782889200,0.671,0.688,0.659,0.667,31229358.0
1783234800,0.667,0.673,0.652,0.662,10662452.0
1783321200,0.662,0.677,0.657,0.67,9590187.0
1783407600,0.67,0.682,0.663,0.679,13874956.0
1783494000,0.679,0.694,0.65,0.66,14322232.0
1783580400,0.66,0.692,0.656,0.681,16293755.0
1783839600,0.681,0.721,0.681,0.71,33122036.0
1783926000,0.71,0.727,0.71,0.727,12580141.0
1784012400,0.727,0.74,0.72,0.729,26995225.0
1784098800,0.729,0.735,0.68,0.68,17737946.0
1784185200,0.68,0.75,0.68,0.734,33215746.0
1784444400,0.734,0.747,0.72,0.741,13289458.0
1784530800,0.741,0.741,0.726,0.74,11387975.0
1784617200,0.74,0.744,0.721,0.735,9298995.0
1784703600,0.735,0.74,0.718,0.737,10716552.0
1785049200,0.737,0.777,0.733,0.742,89443389.0
1785135600,0.742,0.759,0.68,0.7,117278357.0
1785222000,0.7,0.745,0.7,0.74,163039336.0
1785308400,0.74,0.745,0.715,0.718,30058688.0
1785394800,0.718,0.72,0.68,0.71,54885080.0
1785654000,0.71,0.716,0.68,0.702,45417673.0
1785740400,0.702,0.712,0.692,0.692,39976124.0
1785826800,0.692,0.716,0.692,0.71,31709656.0
1785913200,0.71,0.72,0.705,0.71,14752763.0
