timestamp,open,high,low,close,volume
1668326400,0.368,0.38,0.368,0.379,2770812.0
1668412800,0.377,0.381,0.371,0.373,681484.0
1668499200,0.377,0.395,0.377,0.389,7240040.0
1668585600,0.386,0.391,0.382,0.389,2491606.0
1668672000,0.389,0.412,0.388,0.41,5825418.0
1668931200,0.401,0.441,0.401,0.428,8757143.0
1669017600,0.428,0.439,0.415,0.418,5010859.0
1669104000,0.418,0.43,0.41,0.426,3322424.0
1669190400,0.426,0.428,0.421,0.423,1352538.0
1669276800,0.423,0.427,0.41,0.412,2826505.0
1669536000,0.412,0.425,0.412,0.425,4463112.0
1669622400,0.425,0.428,0.414,0.42,2199417.0
1669708800,0.421,0.435,0.415,0.429,3867574.0
1669795200,0.429,0.445,0.426,0.439,2715542.0
1669881600,0.435,0.443,0.43,0.438,2814106.0
1670140800,0.438,0.446,0.438,0.442,2786555.0
1670227200,0.442,0.446,0.437,0.44,3047843.0
1670313600,0.44,0.446,0.43,0.437,6269428.0
1670400000,0.437,0.46,0.434,0.447,5135866.0
1670486400,0.456,0.468,0.45,0.466,2478288.0
1670745600,0.466,0.482,0.466,0.473,3710557.0
1670832000,0.474,0.48,0.444,0.455,2912886.0
1670918400,0.455,0.469,0.45,0.454,3194326.0
1671004800,0.454,0.47,0.454,0.459,2626853.0
1671091200,0.46,0.482,0.46,0.469,4088330.0
1671350400,0.468,0.481,0.455,0.459,3238769.0
1671436800,0.458,0.48,0.456,0.457,2355000.0
1671523200,0.458,0.47,0.452,0.454,1044221.0
1671609600,0.454,0.47,0.452,0.458,2164817.0
1671696000,0.458,0.467,0.451,0.452,1075982.0
1671955200,0.452,0.459,0.45,0.452,2124021.0
1672041600,0.452,0.457,0.45,0.455,2497646.0
1672128000,0.455,0.467,0.451,0.465,2128928.0
1672214400,0.461,0.478,0.453,0.475,2124611.0
1672300800,0.474,0.476,0.47,0.476,2090180.0
1672646400,0.475,0.492,0.475,0.492,2565758.0
1672732800,0.489,0.51,0.489,0.51,5129094.0
1672819200,0.506,0.513,0.49,0.5,3703172.0
1672905600,0.5,0.509,0.49,0.496,2284510.0
