timestamp,open,high,low,close,volume
1667376000,5.44,5.56,5.25,5.3,512200.0
1667462400,5.3,5.34,5.15,5.21,238898.0
1667721600,5.21000004,5.30000019,5.15999985,5.21000004,208659.0
1667808000,5.21,5.39,5.19,5.24,303894.0
1667894400,5.24,5.59,5.24,5.45,1892690.0
1667980800,5.45,5.63,5.38,5.41,1349365.0
1668067200,5.41,5.52,5.4,5.46,435907.0
1668326400,5.46,5.69,5.46,5.6,734445.0
1668412800,5.6,5.65,5.45,5.49,555684.0
1668499200,5.49,5.58,5.48,5.53,325091.0
1668585600,5.52,5.9,5.51,5.86,2060085.0
1668672000,5.86,6.29,5.86,6.06,3189225.0
1668931200,6.06,6.19,6.0,6.05,1162109.0
1669017600,6.04,6.24,6.04,6.19,828805.0
1669104000,6.19,6.29,6.09,6.12,593495.0
1669190400,6.12,6.2,5.96,6.01,540960.0
1669276800,6.01,6.11,5.91,5.97,333316.0
1669536000,5.97,6.14,5.97,6.02,717051.0
1669622400,6.02,6.2,5.99,6.01,1175528.0
1669708800,6.01,6.1,6.0,6.04,528017.0
1669795200,6.06,6.18,6.03,6.11,1193679.0
1669881600,6.11,6.2,6.1,6.14,528597.0
1670140800,6.14,6.29,6.1,6.12,906309.0
1670227200,6.12,6.18,5.91,5.94,646910.0
1670313600,5.94,6.01,5.85,5.89,550993.0
1670400000,5.89,6.18,5.89,6.04,737430.0
1670486400,6.04,6.17,6.03,6.06,779184.0
1670745600,6.06,6.46,6.03,6.34,2443878.0
1670832000,6.34,6.6,6.32,6.46,2043990.0
1670918400,6.42,6.63,6.4,6.46,1661438.0
1671004800,6.46,6.59,6.38,6.4,929446.0
1671091200,6.4,6.5,6.27,6.31,811719.0
1671350400,6.31,6.36,6.11,6.14,340132.0
1671436800,6.14,6.2,6.02,6.07,337932.0
1671523200,6.08,6.17,6.04,6.06,330680.0
1671609600,6.06,6.1,5.93,5.96,321879.0
1671696000,5.96,6.1,5.75,5.8,566565.0
1671955200,5.8,5.99,5.5,5.61,169437.0
1672041600,5.61,5.8,5.52,5.72,138190.0
1672128000,5.74,5.98,5.74,5.93,517758.0
1672214400,5.89,6.1,5.89,5.96,476270.0
1672300800,5.96,6.1,5.9,5.91,314292.0
1672646400,5.91,6.11,5.91,6.07,368977.0
1672732800,6.07,6.42,6.07,6.32,1112986.0
1672819200,6.33,6.4,5.92,6.16,864215.0
1672905600,6.16,6.34,5.99,6.02,1042385.0
1673251200,6.02,6.44,6.02,6.22,1999014.0
1673337600,6.22,6.38,6.2,6.21,1236437.0
1673424000,6.21,6.35,5.91,5.94,1118547.0
1673510400,5.94,6.18,5.89,5.99,528946.0
1673769600,5.99,6.14,5.5,5.91,341365.0
1673856000,5.91,6.06,5.9,5.93,955285.0
1673942400,5.93,6.12,5.93,6.03,974308.0
1674028800,6.03,7.12,6.03,7.05,6317522.0
1674115200,7.05,7.35,6.85,7.04,4641902.0
1674374400,7.04,7.43,7.04,7.15,3164581.0
1674460800,7.15,7.23,6.76,6.81,1619752.0
1674547200,6.81,7.03,6.66,6.74,1091248.0
1674633600,6.72,7.0,6.72,6.86,773654.0
1674979200,6.86,7.2,6.86,6.95,2189231.0
1675065600,6.95,7.1,6.6,6.63,1394937.0
1675152000,6.63,6.74,6.33,6.39,698022.0
1675238400,6.39,6.56,6.16,6.47,598697.0
1675324800,6.42,6.69,6.1,6.2,657095.0
1675584000,6.2,6.2,5.95,5.98,515992.0
1675670400,5.98,6.14,5.96,6.02,327566.0
1675756800,6.01,6.4,6.01,6.33,504309.0
1675843200,6.33,6.44,6.06,6.19,496715.0
1675929600,6.19,6.29,6.1,6.14,392920.0
1676188800,6.14,6.54,6.07,6.4,902391.0
1676275200,6.36,6.68,6.36,6.51,1394670.0
1676361600,6.51,6.73,6.51,6.58,943910.0
1676448000,6.58,6.7,6.4,6.44,647111.0
1676534400,6.44,6.57,6.35,6.38,585449.0
1676793600,6.38,6.66,6.32,6.42,945591.0
1676880000,6.42,6.67,6.31,6.34,1335531.0
1677052800,6.34,6.75,6.34,6.41,1259589.0
1677139200,6.41,6.53,6.31,6.38,370194.0
1677398400,6.38,6.58,6.38,6.49,819346.0
1677484800,6.49,6.56,6.35,6.38,485433.0
1677571200,6.38,6.52,6.36,6.4,438421.0
1677657600,6.4,6.65,6.4,6.49,1076342.0
1677744000,6.49,6.62,6.38,6.41,582386.0
1678003200,6.41,6.5,6.35,6.37,289527.0
1678089600,6.37,6.55,6.31,6.34,600263.0
1678176000,6.34,6.39,6.07,6.1,264852.0
1678262400,6.1,6.4,6.06,6.27,549335.0
1678348800,6.27,6.47,6.2,6.32,711808.0
1679212800,6.32,6.32,5.19,5.39,1220455.0
1679299200,5.39,5.67,5.31,5.52,1377118.0
1679385600,5.52,5.69,5.47,5.61,583973.0
1679472000,5.61,5.75,5.45,5.49,623820.0
1679558400,5.49,5.6,5.36,5.59,244892.0
1679817600,5.55,5.7,5.5,5.6,742717.0
1679904000,5.6,5.68,5.47,5.49,371964.0
1679990400,5.49,5.58,5.31,5.51,515178.0
1680076800,5.51,5.65,5.5,5.53,628338.0
1680163200,5.53,5.57,5.35,5.37,345564.0
1680422400,5.37,5.45,5.35,5.4,194648.0
1680508800,5.4,5.7,5.4,5.59,513900.0
1680595200,5.57,5.88,5.56,5.77,1204444.0
1680681600,5.77,5.94,5.77,5.8,640833.0
1680768000,5.8,5.95,5.72,5.72,384196.0
1681027200,5.75,5.84,5.6,5.65,194757.0
1681113600,5.65,5.83,5.6,5.77,232892.0
1681200000,5.77,6.4,5.77,6.34,2445081.0
1681286400,6.34,6.52,6.21,6.25,1349063.0
1681372800,6.25,6.36,6.15,6.21,563702.0
1681804800,6.21,6.24,6.05,6.17,858913.0
1681891200,6.12,6.3,6.12,6.15,697682.0
1682496000,6.15,6.29,6.15,6.17,747737.0
1682582400,6.17,6.41,6.16,6.33,1062008.0
1682838000,6.33,6.47,6.17,6.21,968264.0
1682924400,6.21,6.29,5.9,6.02,477086.0
1683010800,6.02,6.1,5.9,6.0,218976.0
1683097200,5.95,6.06,5.83,5.89,204896.0
1683442800,5.89,5.95,5.8,5.88,235256.0
1683529200,5.9,6.19,5.9,6.07,334622.0
1683615600,6.07,6.18,5.85,5.9,535010.0
1683702000,5.9,6.02,5.85,5.96,202862.0
1683788400,5.93,6.13,5.93,5.94,443309.0
1684047600,5.94,6.05,5.91,5.95,246677.0
1684134000,5.95,6.02,5.8,5.83,194187.0
1684220400,5.83,5.89,5.7,5.79,168583.0
1684306800,5.73,5.92,5.66,5.66,270246.0
1684393200,5.7,5.77,5.5,5.55,159264.0
1684652400,5.53,5.73,5.53,5.66,159633.0
1684738800,5.64,5.74,5.62,5.64,121762.0
1684825200,5.64,5.77,5.64,5.75,186259.0
1684911600,5.75,5.86,5.7,5.83,283057.0
1684998000,5.79,6.05,5.77,5.9,930044.0
1685257200,5.91,6.09,5.9,6.05,559452.0
1685343600,6.03,6.15,5.95,6.05,489775.0
1685430000,6.05,6.2,6.0,6.14,611482.0
1685516400,6.14,6.36,6.11,6.2,1342446.0
1685602800,6.2,6.32,6.18,6.2,930891.0
1685862000,6.2,6.33,6.2,6.21,613413.0
1685948400,6.21,6.47,6.16,6.26,1857144.0
1686034800,6.26,6.37,6.2,6.21,730941.0
1686121200,6.21,6.27,5.97,6.0,647756.0
1686207600,6.0,6.1,5.9,5.91,333669.0
1686466800,5.91,6.03,5.85,5.85,441645.0
1686553200,5.88,5.95,5.85,5.92,124998.0
1686639600,5.91,6.1,5.9,5.97,711377.0
1686726000,5.97,6.11,5.96,5.98,351277.0
1686812400,5.98,6.24,5.98,6.04,634727.0
1687071600,6.04,6.16,6.04,6.14,378133.0
1687158000,6.14,6.19,5.95,5.99,377410.0
1687244400,5.99,6.2,5.99,6.04,946808.0
1687330800,6.04,6.13,5.9,5.91,283409.0
1687417200,5.93,5.97,5.82,5.9,256759.0
1687676400,5.86,5.92,5.75,5.8,239069.0
1687762800,5.77,5.86,5.72,5.8,127437.0
1688454000,5.8,5.93,5.8,5.81,248439.0
1688540400,5.84,5.9,5.8,5.88,114242.0
1688626800,5.81,5.88,5.65,5.65,190436.0
1688886000,5.7,5.72,5.38,5.4,116701.0
1688972400,5.46,5.55,5.35,5.54,128413.0
1689058800,5.49,5.59,5.49,5.5,88985.0
1689145200,5.51,5.53,5.34,5.37,228637.0
1689231600,5.37,5.58,5.37,5.58,140515.0
1689490800,5.52,5.68,5.52,5.58,254183.0
1689577200,5.58,5.64,5.52,5.55,104219.0
1689663600,5.55,5.67,5.54,5.57,91870.0
1689750000,5.58,5.65,5.53,5.63,255043.0
1690182000,5.61,6.04,5.61,5.79,713515.0
1690268400,5.79,6.17,5.75,6.02,1988670.0
1690354800,6.02,6.18,5.9,5.91,855739.0
1690441200,5.91,6.04,5.85,5.87,422261.0
1690700400,5.87,6.35,5.85,6.35,2477722.0
1690786800,6.35,6.45,6.15,6.19,1673892.0
1690873200,6.19,6.33,6.13,6.14,933857.0
1690959600,6.14,6.2,5.97,5.99,713873.0
1691046000,5.99,6.1,5.93,6.06,493339.0
1691305200,6.06,6.17,6.0,6.14,398119.0
1691391600,6.14,6.18,5.96,6.12,811388.0
1691478000,6.12,6.24,6.04,6.09,506000.0
1691564400,6.09,6.14,6.01,6.06,333536.0
1691650800,6.06,6.14,6.0,6.02,293525.0
1691910000,6.02,6.16,6.02,6.13,381366.0
1691996400,6.13,6.45,6.13,6.31,2328064.0
1692082800,6.31,7.57,6.31,7.57,5638103.0
1692169200,7.57,9.08,7.57,9.0,8192628.0
1692255600,9.0,9.35,8.72,8.72,5834512.0
1692601200,8.72,10.1,8.72,10.03,6348947.0
1692687600,10.03,10.3,9.7,9.8,3528563.0
1692774000,9.8,10.2,9.35,9.42,3244064.0
1692860400,9.42,10.98,8.85,10.71,6322387.0
1693119600,10.71,11.55,10.7,10.91,7129039.0
1693206000,10.91,11.17,10.52,10.78,4119720.0
1693292400,10.78,11.46,10.78,11.29,5459740.0
1693378800,11.29,11.65,11.11,11.2,3559641.0
1693465200,11.2,11.3,10.85,10.86,2837974.0
1693724400,10.86,11.0,10.05,10.1,2992496.0
1693810800,10.1,10.75,9.74,10.38,3238443.0
1693897200,10.38,10.68,9.93,10.02,2347469.0
1693983600,10.02,10.16,9.39,9.75,1582120.0
1694070000,9.75,10.3,9.43,10.17,3414168.0
1694329200,10.17,10.53,9.94,10.07,2151818.0
1694415600,10.07,10.32,9.05,9.89,2379504.0
1694502000,9.89,10.12,9.73,9.79,1466921.0
1694588400,9.79,9.97,9.63,9.94,1138005.0
1694674800,9.94,10.07,9.71,9.76,1075003.0
1694934000,9.76,9.86,9.5,9.520001,1319670.0
1695020400,9.520001,11.1,9.520001,11.1,7383063.0
1695106800,11.1,11.16,10.33,10.35,4242930.0
