timestamp,open,high,low,close,volume
1668326400,1.73,1.76,1.73,1.73,3140515.0
1668412800,1.73,1.748,1.707,1.74,3076863.0
1668499200,1.74,1.785,1.73,1.784,14997923.0
1668585600,1.784,1.831,1.784,1.825,16951008.0
1668672000,1.825,1.874,1.801,1.85,14721200.0
1668931200,1.85,1.86,1.817,1.849,5196899.0
1669017600,1.849,1.849,1.788,1.83,3402067.0
1669104000,1.83,1.83,1.791,1.818,6370698.0
1669190400,1.818,1.82,1.782,1.799,9582916.0
1669276800,1.799,1.832,1.782,1.832,4101947.0
1669536000,1.832,1.975,1.83,1.975,22298319.0
1669622400,1.975,1.987,1.92,1.961,10806277.0
1669708800,1.961,2.009,1.93,1.989,15550378.0
1669795200,1.989,1.995,1.923,1.934,5992496.0
1669881600,1.944,1.97,1.932,1.932,7258854.0
1670140800,1.932,2.07,1.932,2.05,14421837.0
1670227200,2.05,2.099,2.02,2.03,10506865.0
1670313600,2.03,2.15,1.981,2.15,15701078.0
1670400000,2.15,2.238,2.15,2.161,20208790.0
1670486400,2.161,2.242,2.134,2.219,12560626.0
1670745600,2.22,2.27,2.17,2.19,10931137.0
1670832000,2.19,2.2,2.09,2.18,7356766.0
1670918400,2.18,2.37,2.18,2.3,16231272.0
1671004800,2.3,2.38,2.28,2.3,7948418.0
1671091200,2.3,2.4,2.27,2.29,9445607.0
1671350400,2.29,2.3,2.2,2.22,4241403.0
1671436800,2.22,2.24,2.14,2.22,7302073.0
1671523200,2.22,2.25,2.15,2.15,6316081.0
1671609600,2.15,2.16,2.03,2.08,9116660.0
1671696000,2.08,2.12,1.98,2.01,7598357.0
1671955200,2.01,2.01,1.88,1.9,10251342.0
1672041600,1.9,2.0,1.89,2.0,9681814.0
1672128000,2.0,2.1,2.0,2.06,10991040.0
1672214400,2.06,2.16,2.06,2.13,14828413.0
1672300800,2.13,2.21,2.13,2.16,12882741.0
1672646400,2.16,2.25,2.16,2.21,10451359.0
1672732800,2.21,2.26,2.17,2.2,7530233.0
1672819200,2.2,2.23,2.03,2.14,10316187.0
1672905600,2.14,2.19,2.1,2.12,11882583.0
