timestamp,open,high,low,close,volume
1668326400,1.25,1.295,1.25,1.285,1001760.0
1668412800,1.275,1.305,1.25,1.275,2275578.0
1668499200,1.275,1.3,1.265,1.27,991240.0
1668585600,1.27,1.345,1.27,1.32,4220272.0
1668672000,1.32,1.365,1.31,1.325,2904266.0
1668931200,1.325,1.35,1.285,1.29,4359940.0
1669017600,1.29,1.325,1.28,1.285,3676890.0
1669104000,1.285,1.375,1.28,1.33,22640464.0
1669190400,1.33,1.38,1.32,1.335,12971674.0
1669276800,1.335,1.355,1.315,1.325,2217868.0
1669536000,1.325,1.375,1.325,1.33,5131218.0
1669622400,1.33,1.35,1.3,1.3,6187454.0
1669708800,1.3,1.34,1.3,1.33,8068226.0
1669795200,1.33,1.38,1.32,1.325,8474070.0
1669881600,1.325,1.35,1.32,1.32,3443406.0
1670140800,1.32,1.35,1.32,1.33,3473528.0
1670227200,1.33,1.345,1.305,1.31,2781102.0
1670313600,1.31,1.335,1.3,1.315,4783606.0
1670400000,1.31,1.41,1.31,1.38,16197948.0
1670486400,1.38,1.43,1.35,1.35,8053698.0
1670745600,1.35,1.385,1.35,1.37,7808156.0
1670832000,1.37,1.45,1.335,1.43,17293068.0
1670918400,1.43,1.5,1.42,1.47,18733796.0
1671004800,1.47,1.76,1.47,1.76,35156668.0
1671091200,1.76,1.8,1.58,1.625,19619816.0
1671350400,1.625,1.69,1.58,1.615,11000732.0
1671436800,1.615,1.645,1.52,1.545,11723032.0
1671523200,1.545,1.72,1.5,1.66,20791410.0
1671609600,1.66,1.755,1.625,1.645,20098958.0
1671696000,1.645,1.715,1.625,1.655,15034528.0
1671955200,1.655,1.665,1.555,1.58,6380714.0
1672041600,1.585,1.645,1.57,1.625,3483462.0
1672128000,1.625,1.665,1.585,1.595,2629352.0
1672214400,1.595,1.635,1.585,1.61,2226252.0
1672300800,1.61,1.64,1.57,1.585,4557872.0
1672646400,1.585,1.62,1.585,1.605,2881588.0
1672732800,1.605,1.665,1.605,1.62,7741148.0
1672819200,1.62,1.64,1.3,1.56,9365354.0
1672905600,1.56,1.585,1.515,1.525,15832854.0
1673251200,1.525,1.595,1.51,1.525,9594858.0
1673337600,1.525,1.54,1.425,1.44,4634814.0
1673424000,1.44,1.465,1.33,1.345,13510390.0
1673510400,1.345,1.385,1.245,1.27,9001986.0
1673769600,1.27,1.31,1.25,1.28,5091668.0
1673856000,1.28,1.47,1.28,1.405,12004290.0
1673942400,1.405,1.455,1.39,1.4,6367046.0
1674028800,1.4,1.435,1.365,1.385,5509036.0
1674115200,1.375,1.405,1.36,1.37,3809554.0
1674374400,1.37,1.425,1.36,1.365,4480186.0
1674460800,1.365,1.45,1.365,1.4,15109172.0
1674547200,1.4,1.43,1.36,1.365,5443346.0
1674633600,1.365,1.405,1.365,1.38,5905030.0
1674979200,1.38,1.4,1.37,1.375,2864386.0
1675065600,1.375,1.39,1.32,1.325,3287768.0
1675152000,1.325,1.36,1.26,1.27,4579076.0
1675238400,1.27,1.305,1.265,1.275,1973576.0
1675324800,1.275,1.3,1.25,1.255,3556588.0
1675584000,1.255,1.29,1.165,1.225,1356496.0
1675670400,1.225,1.26,1.21,1.225,1364196.0
1675756800,1.225,1.27,1.225,1.27,1795132.0
1675843200,1.26,1.275,1.24,1.25,1528396.0
1675929600,1.25,1.325,1.235,1.315,6066030.0
1676188800,1.315,1.335,1.29,1.315,4232274.0
1676275200,1.315,1.375,1.31,1.32,5149798.0
1676361600,1.32,1.38,1.32,1.365,8642964.0
1676448000,1.355,1.42,1.355,1.39,12437110.0
1676534400,1.39,1.4,1.35,1.355,2878336.0
1676793600,1.355,1.375,1.33,1.34,2022808.0
1676880000,1.34,1.365,1.285,1.3,3033298.0
1676966400,1.3,1.345,1.28,1.345,3560314.0
1677052800,1.33,1.36,1.29,1.3,1819620.0
1677139200,1.3,1.35,1.3,1.325,2087416.0
1677398400,1.325,1.35,1.315,1.33,1906956.0
1677484800,1.33,1.36,1.33,1.335,1990750.0
1677571200,1.335,1.345,1.315,1.325,2074220.0
1677657600,1.325,1.405,1.32,1.395,9784588.0
1677744000,1.395,1.415,1.36,1.37,4060118.0
1678003200,1.37,1.39,1.34,1.36,1385106.0
1678089600,1.36,1.38,1.35,1.355,2211124.0
1678176000,1.355,1.365,1.305,1.325,1357986.0
1678262400,1.315,1.335,1.29,1.305,3464122.0
1678348800,1.315,1.34,1.31,1.33,2187634.0
1678608000,1.33,1.33,1.255,1.27,1194420.0
1678694400,1.275,1.325,1.13,1.175,3074644.0
1678780800,1.15,1.215,1.145,1.175,1514412.0
1678867200,1.175,1.235,0.95,1.05,5239796.0
1678953600,1.05,1.115,0.97,1.05,3268954.0
1679212800,1.045,1.08,1.005,1.025,1007426.0
1679299200,1.03,1.15,1.03,1.12,3574342.0
1679385600,1.12,1.2,1.12,1.16,2197560.0
1679472000,1.165,1.19,1.12,1.125,1534940.0
